listing_id,title,price_aud,product_type,layer,query_source,seller_location,url
287201119683,Asus ROG Flow Z13 GZ302 180Hz QHD+ 3.0 GHz RYZEN AI MAX+ 395 64GB 2TB Excellent,3207.87,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/287201119683
297894943176,Asus ROG Flow Z13 GZ302 180Hz QHD+ TOUCH 3.0 GHz RYZEN AI MAX+ 395 64GB 2TB SSD,3207.87,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/297894943176
327122628397,GPD WIN 5 AMD Ryzen AI MAX+ 395 32GB+2TB Gaming Handheld Console,3210.0,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/327122628397
397861841432,"ASUS ROG Flow Z13 GZ302EA-RU004W 13.4"" Gaming Laptop- AMD Ryzen AI MAX+ 395, 1TB",3211.61,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United Kingdom,https://www.ebay.com.au/itm/397861841432
336503338068,GPD WIN 5 AMD Ryzen AI MAX+ 395 / 385 Gaming Handheld Console Windows 11,3247.28,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/336503338068
376576998117,GPD WIN 5 AMD Ryzen AI MAX+ 395 32GB+2TB Gaming Handheld Console,3289.82,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/376576998117
376698157662,GPD WIN 5 AMD Ryzen AI MAX+ 395(Max. 64GB+2TB Optional) Handheld Game Console,3289.82,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/376698157662
205844543337,"GPD WIN 5 Handheld Gaming PC - Ryzen AI Max+ 395, 32GB RAM, 2TB SSD",3289.82,GPD WIN 5,L3,"""AI Max+ 395"" handheld",China,https://www.ebay.com.au/itm/205844543337
205796134692,GPD WIN 5 AMD Ryzen AI MAX+ 395 32GB+2TB Latest Gaming PC Handheld Game Console,3289.82,GPD WIN 5,L3,"""AI Max+ 395"" handheld",China,https://www.ebay.com.au/itm/205796134692
377152126915,"OneXPlayer Onexfly Apex AI MAX+ 395 8"" Handheld Gaming PC",3304.18,OneXPlayer Apex,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/377152126915
206045445783,"NEW! OneXPlayer Apex AI MAX+ 395 8"" Handheld Gaming PC Windows Game Console",3304.18,OneXPlayer Apex,L3,"""AI Max+ 395"" handheld",China,https://www.ebay.com.au/itm/206045445783
377041066290,"OneXPlayer APEX AMD MAX+ 395 8"" Handheld Gaming PC 48GB+1TB Standard Version",3304.18,OneXPlayer Apex,L1,ONEXFLY Apex 395,China,https://www.ebay.com.au/itm/377041066290
206100374598,"OneXPlayer Onexfly Apex MAX+ 395 8"" Handheld Gaming PC Standard Version AAA Game",3304.18,OneXPlayer Apex,L1,ONEXFLY Apex 395,China,https://www.ebay.com.au/itm/206100374598
206050925364,"Instock OneXPlayer Apex MAX+ 395 8"" Handheld Gaming PC Windows 48GB+1TB Standard",3304.18,OneXPlayer Apex,L1,ONEXFLY Apex 395,China,https://www.ebay.com.au/itm/206050925364
376715235409,GPD WIN 5 AMD Ryzen AI MAX+ 395 Strongest Handheld Game Console Gaming PC,3312.04,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/376715235409
205847581556,GPD WIN 5 AMD Ryzen AI MAX+ 395(64GB+2TB Optional)Handheld Game Console Arriving,3312.04,GPD WIN 5,L3,"""AI Max+ 395"" handheld",China,https://www.ebay.com.au/itm/205847581556
377083296770,"OneXPlayer Apex 395 8"" Handheld Gaming PC 48GB+1TB LC Model Without Water cooler",3317.59,OneXPlayer Apex,L1,ONEXFLY Apex 395,China,https://www.ebay.com.au/itm/377083296770
376843424017,GPD WIN 5 AMD Ryzen AI MAX+ 395 32GB RAM +2TB  SSD Powerfull Gaming PC Handheld,3323.07,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/376843424017
376870006553,NEW!! GPD WIN 5 AMD Ryzen AI MAX+ 395 Strongest Handheld Game Console Gaming,3323.07,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/376870006553
205798139457,GPD WIN 5 AMD Ryzen AI MAX+ 395 32GB+2TB Gaming PC Removable battery Design,3323.07,GPD WIN 5,L3,"""AI Max+ 395"" PC",China,https://www.ebay.com.au/itm/205798139457
376998044098,"OneXPlayer Onexfly APEX AMD MAX+ 395 8"" Handheld Gaming PC 48GB+1TB For AAA Game",3323.07,OneXPlayer Apex,L1,ONEXFLY Apex 395,China,https://www.ebay.com.au/itm/376998044098
127837075329,ONEXFLY APEX RYZEN AI MAX+ 395 (48GB+1TB),3359.12,OneXPlayer Apex,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/127837075329
297920904818,Asus ROG Flow Z13 GZ302 180Hz QHD+ TOUCH 3.0 GHz RYZEN AI MAX+ 395 64GB 1TB SSD,3360.63,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/297920904818
277944800586,GPD WIN 5 Handheld Gaming PC | Ryzen AI Max+ 395 | 32GB RAM | 2TB SSD,3360.64,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/277944800586
177753307715,"ASUS ROG Flow Z13 13.4"" Gaming Tablet Laptop Ryzen AI MAX+ 395, 1TB SSD 32GB RAM",3400.51,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United Kingdom,https://www.ebay.com.au/itm/177753307715
376929942542,"OneXPlayer Onexfly Apex AI MAX+ 395 8"" Handheld Gaming PC 48GB+1TB Liquid Cooled",3455.08,OneXPlayer Apex,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/376929942542
377005504566,"OneXPlayer Apex MAX+ 395 8"" Handheld Gaming PC Liquid-cooled With Frost Bay NEW!",3455.08,OneXPlayer Apex,L1,ONEXFLY Apex 395,China,https://www.ebay.com.au/itm/377005504566
206100146326,"OneXPlayer Apex MAX+ 395 8"" Handheld Gaming PC Water Cooled With Frost Bay",3455.08,OneXPlayer Apex,L1,ONEXFLY Apex 395,China,https://www.ebay.com.au/itm/206100146326
376934092018,EVO-X2 AI MAX+ Mini PC | Ryzen AI 395 | 96GB LPDDR5X | 1TB PCIe 4.0 | Open Box,3511.87,EVO-X2 Mini PC,L2,Ryzen AI Max PRO 395,United States,https://www.ebay.com.au/itm/376934092018
206100382441,"OneXPlayer Apex MAX+ 395 8"" Handheld Gaming PC Water Cooled With Frost Bay",3511.99,OneXPlayer Apex,L1,ONEXFLY Apex 395,China,https://www.ebay.com.au/itm/206100382441
376931235105,"In stock - OneXPlayer Onexfly Apex MAX+ 395 8"" Handheld PC 48GB+1TB Water Cooled",3530.88,OneXPlayer Apex,L1,ONEXFLY Apex 395,China,https://www.ebay.com.au/itm/376931235105
117153408673,HP ZBook Ultra G1a/AMD Ryzen™ AI Max+ 395/64GB ULTRA 14 INCH G1A BASE NB PC 1tb,3589.78,HP ZBook Ultra G1a,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/117153408673
336506370313,GPD WIN 5 AMD Ryzen AI MAX+ 395 Gaming Handheld Console 32GB RAM + 512GB SSD,3606.22,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/336506370313
